Index,Time,Process Speed Ratio,Environment,Outer Temp,Page Count,Inner Temp,Humidity,LSU Temp,TRC Enable,TRC Elapsed Time,TRC Delta CV Y,TRC Delta CV M,TRC Delta CV C,TRC Delta CV K,TRC Delta DC Y,TRC Delta DC M,TRC Delta DC C,TRC Delta DC K,TRC Delta VPP Y,TRC Delta VPP M,TRC Delta VPP C,TRC Delta VPP K,TRC Delta LD Y,TRC Delta LD M,TRC Delta LD C,TRC Delta LD K,TRC CMS ERR 1 Y,TRC CMS ERR 2 Y,TRC CMS ERR 3 Y,TRC CMS ERR 4 Y,TRC CMS ERR 5 Y,TRC CMS ERR 6 Y,TRC CMS ERR 7 Y,TRC CMS ERR 8 Y,TRC CMS ERR 1 M,TRC CMS ERR 2 M,TRC CMS ERR 3 M,TRC CMS ERR 4 M,TRC CMS ERR 5 M,TRC CMS ERR 6 M,TRC CMS ERR 7 M,TRC CMS ERR 8 M,TRC CMS ERR 1 C,TRC CMS ERR 2 C,TRC CMS ERR 3 C,TRC CMS ERR 4 C,TRC CMS ERR 5 C,TRC CMS ERR 6 C,TRC CMS ERR 7 C,TRC CMS ERR 8 C,TRC CMS ERR 1 K,TRC CMS ERR 2 K,TRC CMS ERR 3 K,TRC CMS ERR 4 K,TRC CMS ERR 5 K,TRC CMS ERR 6 K,TRC CMS ERR 7 K,TRC CMS ERR 8 K,TCC TC Y,TCC TC M,TCC TC C,TCC TC K,TCC CT Y,TCC CT M,TCC CT C,TCC CT K,TCC OT Y,TCC OT M,TCC OT C,TCC OT K,TCC CV Y,TCC CV M,TCC CV C,TCC CV K,TCC SM Y,TCC SM M,TCC SM C,TCC SM K,TCC DOT Y,TCC DOT M,TCC DOT C,TCC DOT K,TCC TA Y,TCC TA M,TCC TA C,TCC TA K,TCC EA Y,TCC EA M,TCC EA C,TCC EA K,TCC Page Y,TCC Page M,TCC Page C,TCC Page K,TCC BM Y,TCC BM M,TCC BM C,TCC BM K,LSU Temp MIN,LSU Temp MAX,LSU Temp AVG,LSU Temp DIF,ClassBinary
11,75960.418,100,0,0,2,0,2,0,13,6,1,1,1,0,-75,0,0,3,-16,0,-20,0,-44,-14,-85,23,0,12,12,24,13,3,-33,-77,0,-1,3,9,4,-3,-14,-13,0,8,13,16,15,13,-3,-49,-14,-5,-1,-5,10,7,5,2,175,167,160,150,158,159,159,150,0,1,1,0,130,128,129,129,4,4,3,17,5934,21432,22158,8694300,9326610,18394938,15601572,43005594,1554369,3065771,2600232,7167305,24,24,24,1,-3,-3,-4,10,279,279,279,58,1
12,103872.018,100,0,3,2,3,12,26,13,6,0,0,0,0,-16,0,0,-11,0,0,0,0,27,-9,-23,18,0,0,-4,-5,8,-5,-9,-33,0,1,1,6,20,2,-6,-13,0,5,5,8,11,17,17,-15,0,-5,-5,-2,-6,-3,-2,1,175,167,160,150,158,159,159,150,0,1,1,0,130,128,129,129,4,4,3,17,19780,71440,73860,28981000,31088700,61316460,52005240,143351980,1554369,3065771,2600232,7167305,24,24,24,1,-3,-3,-4,10,253,279,269.45,26,0
13,125020.018,100,0,0,2,1,11,0,13,6,0,0,0,0,-16,0,0,-6,10,0,0,0,28,-5,-15,16,0,-3,-10,-7,-28,-15,-21,8,0,2,2,3,-1,0,0,5,0,3,8,9,13,10,12,7,-5,3,4,5,9,4,7,1,175,167,160,150,158,159,159,150,0,1,1,0,130,128,129,129,4,4,3,17,16813,60724,62781,24633850,26425395,52118991,44204454,121849183,1554369,3065771,2600232,7167305,24,24,24,1,-3,-3,-4,10,251,251,251,26,1
14,143408.818,100,0,2,2,2,6,9,13,6,0,0,0,0,-16,0,0,-17,0,0,0,0,6,9,0,2,0,3,8,1,-5,2,3,9,0,0,-2,-6,-15,-14,-9,-12,0,0,0,-1,-2,-9,-12,-8,-1,-2,-2,7,0,5,2,-2,175,167,160,150,158,159,159,150,0,1,1,0,130,128,129,129,4,4,3,17,10879,39292,40623,15939550,17098785,33724053,28602882,78843589,1554369,3065771,2600232,7167305,24,24,24,1,-3,-3,-4,10,247,256,247.8181818,9,0
15,160948.818,100,0,1,2,1,0,0,13,6,0,0,0,0,0,0,0,10,0,0,0,0,7,2,0,-16,0,-4,-6,-9,-3,-12,6,10,0,1,2,-2,-8,5,3,-10,0,-2,-1,-2,-6,-7,-12,3,2,0,7,-8,-6,-3,2,0,175,167,160,150,158,159,159,150,0,1,1,0,130,128,129,129,4,4,3,17,6923,25004,25851,10143350,10881045,21460761,18201834,50173193,1554369,3065771,2600232,7167305,24,24,24,1,-3,-3,-4,10,259,259,259,9,0
16,190928.818,100,1,0,2,0,8,0,13,6,0,0,0,0,0,0,0,1,-10,0,0,0,2,-25,0,4,0,0,3,-4,4,7,17,-11,0,-1,0,-1,9,8,18,5,0,-1,0,-2,0,-3,3,5,-1,-2,1,7,4,7,0,1,175,167,160,150,158,159,159,150,0,1,1,0,130,128,129,129,4,4,3,17,22747,82156,84939,33328150,35752005,70513929,59806026,164854777,1554369,3065771,2600232,7167305,24,24,24,1,-3,-3,-4,10,267,267,267,0,1
17,211643.618,100,1,1,2,1,11,0,13,6,0,0,0,0,0,0,0,3,10,0,0,0,12,15,0,-4,0,-2,-3,-3,3,2,16,-4,0,3,0,0,6,9,7,0,0,1,1,4,0,3,9,5,1,7,-7,-7,-7,-5,0,-1,175,167,160,150,158,159,159,150,0,1,1,0,130,128,129,129,4,4,3,17,23736,85728,88632,34777200,37306440,73579752,62406288,172022376,1554369,3065771,2600232,7167305,24,24,24,1,-3,-3,-4,10,274,274,274,0,1
18,234529.618,100,1,0,2,0,22,0,13,6,0,0,0,0,17,0,0,7,-10,0,0,0,1,11,0,13,0,4,5,9,16,29,17,8,0,1,2,3,15,13,14,16,0,3,4,5,4,18,18,8,-1,-4,-1,-1,5,0,-7,-2,175,167,160,150,158,159,159,150,0,1,1,0,130,128,129,129,4,4,3,17,110768,400064,413616,162293600,174096720,343372176,291229344,802771088,1554369,3065771,2600232,7167305,24,24,24,1,-3,-3,-4,10,275,275,275,0,1
19,244560.018,100,1,0,2,0,2,0,13,6,0,0,0,0,-16,0,0,0,10,0,0,10,3,-1,0,-33,0,-3,-4,-5,-8,-6,-3,3,0,-7,-9,-6,-24,-6,-16,-7,0,-3,-5,-7,-4,-15,2,5,34,22,19,10,3,-4,-7,2,175,167,160,150,158,159,159,150,0,1,1,0,130,128,129,129,4,4,3,17,311535,1125180,1163295,456450750,489647025,965734245,819082530,2257793685,1554369,3065771,2600232,7167305,24,24,24,1,-3,-3,-4,10,276,276,276,0,1
20,264483.004,99.32745826,0,4,876,5,8,45,2,0,0,0,0,0,-1,2,0,16,0,0,0,-10,4,-11,-7,-16,0,-1,-3,4,12,11,-9,-4,0,2,4,11,24,9,0,1,0,2,2,0,7,20,7,-10,3,8,3,7,5,2,4,0,164.182282,163.7954545,162.8269944,149.3988868,159.8218924,160.3826531,160.424397,149.5394249,-0.125231911,0.435528757,0.477272727,-0.460575139,130.9735622,128.9735622,129.9735622,129.1391466,4.907699443,4,3,7.331168831,1106712100,1909663156,2160497878,1899609846,3411388288,6676855054,5668621450,15546968649,1582084.345,3096601.321,2628994.274,7210800.13,472,472,472,863,-2.092300557,-3,-4,0.331168831,258,303,283.7546382,45,1
21,265452.818,100,0,0,478,0,0,19,2,0,0,0,0,0,-22,-2,0,-10,-10,0,0,0,-92,-15,12,-38,0,10,17,27,6,0,-27,-4,0,-1,-4,-11,-32,-37,-45,-22,0,-4,-10,-9,-22,-47,-55,-42,-1,-3,1,-10,-16,-12,-9,-1,164.9886246,163.5894519,165.4146846,154.2502585,159.8076525,159.9027921,159.9027921,149.8190279,-0.192347466,-0.097207859,-0.097207859,-0.180972079,131,129,130,129,5,4.023784902,3,7,363419699,464993105,428717923,592435425,1555877512,3019231056,2563042938,7029137529,1608734.667,3122062.885,2650275.023,7268778.703,200,200,200,401,-2,-2.976215098,-4,0,291,310,296.0506722,26,1
22,267524.818,100,0,0,502,0,2,23,2,0,0,0,0,0,-6,0,0,-15,0,0,0,0,-13,-3,-1,22,0,4,8,5,4,3,32,2,0,0,0,-5,1,13,29,-2,0,-2,-1,-5,-3,-8,-1,11,-13,-9,-8,4,5,10,10,1,162.28,160.8146667,161.276,155.408,159.016,159.3973333,159.0986667,149.5266667,-0.984,-0.602666667,-0.901333333,-0.473333333,131,129,130,129,5,5.62,3,7.892,150113092,203378859,185605991,666973182,1219025915,2353131938,1997104871,5481798170,1625224.945,3137334.275,2662612.371,7308760.58,346,346,346,495,-2,-1.38,-4,0.892,292,315,303.5066667,4,0
23,271417.618,100,0,0,320,0,2,27,2,0,0,0,0,0,-22,0,0,25,0,0,0,0,34,22,18,-8,0,-1,-1,-11,6,11,25,10,0,2,3,1,11,9,8,-3,0,1,2,2,-5,13,13,10,-9,-15,-16,-12,-7,-15,-13,-1,161.7421525,160.7735426,160.7769058,153.92713,159,159,159,149.2881166,-1,-1,-1,-0.711883408,131,129,130,129,5,5.891255605,3,13.09080717,490040427,870172951,791716459,856043786,1458409971,2810055294,2383134039,6610607731,1634793.519,3150023.176,2671426.354,7410621.54,174,174,174,276,-2,-1.108744395,-4,6.090807175,292,319,305.455157,4,0
24,277657.218,100,0,0,501,1,2,25,2,0,-1,0,-1,0,73,0,0,-2,0,1,0,0,-33,44,64,25,0,-5,-4,-2,-11,-19,-51,12,0,-5,-5,-1,-6,-14,8,55,0,-11,-19,-15,-11,-1,-6,45,11,16,8,6,-2,10,8,-2,152.343298,150.8669238,157.5380906,153.4898746,159,159,159,149.4918033,-1,-1,-1,-0.508196721,130,129,129.2565092,129,5,5.243008679,3,17.1099325,87885571,91140997,95140911,715700993,1727780191,3306048045,2798367747,7852993825,1665955.827,3187931.905,2698317.799,7572448.631,200,200,200,473,-2,-1.756991321,-4,10.1099325,294,319,305.2401157,2,1
25,279510.818,100,0,0,599,2,1,20,2,0,0,0,0,0,12,27,0,-3,0,10,20,0,-2,8,36,-33,0,-2,-4,7,9,-3,-1,-43,0,-7,-11,-9,-5,-16,-31,-17,0,-3,-1,-7,4,6,12,-5,12,9,11,1,7,-4,0,2,149.049744,150.0892465,155.8141917,153.7249451,159,159,159,149.950256,-1,-1,-1,-0.049743965,130,129,129,129,4.894659839,4.858814923,3,19.15215801,2679948,6032808,10518588,985500148,2279692109,4359746662,3690601510,10546988355,1667576.662,3189113.103,2699586.618,7715027.35,201,201,201,598,-2.105340161,-2.141185077,-4,12.15215801,305,325,311.0453548,5,1
26,281890.418,100,0,0,779,0,3,27,2,0,0,0,0,0,-34,-19,0,-4,0,5,0,0,-5,-3,-6,1,0,4,9,4,8,10,45,49,0,2,7,3,-1,26,40,23,0,-1,-2,-1,-5,-13,-5,12,-7,-8,-3,2,0,4,5,2,152.3991469,149.7958562,154.0511883,152.1121268,159.1566118,159.4369287,159.4369287,149.2041438,-0.843388178,-0.563071298,-0.563071298,-0.795856185,130,129,129,129,3.492382693,3.473491773,3,24.09262645,453072932,607658528,550663912,1010047820,2742436723,5239215116,4437409886,12938059305,1670950.1,3192550.544,2703973.698,7883853.74,181,181,181,489,-3.507617307,-3.526508227,-4,17.09262645,307,334,320.2644729,7,1
27,283123.19,100,0,0,419,0,0,23,2,0,0,-1,0,0,-10,57,0,19,0,4,0,0,44,-3,2,-14,0,0,-2,4,21,28,2,30,0,-7,-19,-16,-7,-21,-44,-54,0,4,3,-1,2,22,15,-15,11,6,1,-2,-1,-6,-10,-1,161.9589744,162.3374359,162.6174359,152.3374359,159.1589744,159.2564103,159.2564103,149.8102564,-0.841025641,-0.743589744,-0.743589744,-0.18974359,130,128.0112821,129,129,3,3.528205128,3,27.70461538,253210587,297590293,293842291,636259832,1637831303,3124912551,2645846198,7825597892,1679624.842,3204895.978,2713488.015,8025813.349,388,388,388,418,-4,-3.471794872,-4,20.70461538,311,334,322.1517949,4,1
28,284652.018,100,0,0,351,0,2,22,53,0,-1,1,0,0,77,-53,0,-5,0,-20,0,0,-31,-31,3,30,0,-7,-11,-25,-51,-54,-51,-50,0,13,25,25,20,20,32,52,0,-3,-2,2,-4,-22,-22,16,-9,-7,1,5,3,11,14,1,161,157,162,152.6369958,159,159,159,149.2600834,-1,-1,-1,-0.739916551,130,128,129,129,3,4,3,29.5605007,151921824,151921824,151921824,557530399,1209676517,2307385321,1953441753,5859767794,1682213,3209094,2716665,8149392.202,1,1,1,325,-4,-3,-4,22.5605007,309,331,320.5952712,1,1
29,286599.618,100,0,0,350,0,0,25,2,0,1,0,0,0,-45,23,6,-3,0,2,0,0,7,14,-8,-18,0,8,14,18,32,51,65,10,0,-4,-9,-13,-5,3,-2,-46,0,-1,-1,-3,-10,0,15,-13,10,5,-2,-1,-5,-16,-16,-2,163.1107784,162.0479042,161.4266467,152.1017964,159,159.1122754,159,149.1736527,-1,-0.887724551,-1,-0.826347305,129.997006,128.7979042,129,129,3.110778443,4,3.700598802,31.52095808,444888499,742408752,683802862,623633979,1128845267,2150740340,1821862982,5548421103,1689677.466,3219450.114,2727088.156,8305451.012,172,172,172,319,-3.889221557,-3,-3.299401198,24.52095808,305,330,318.0988024,3,0
30,290732.818,93.76498801,0,0,74,2,0,36,7,0,0,0,0,0,-3,-18,-6,8,0,0,0,0,7,-14,-38,-9,0,-4,-3,-6,-8,-15,-9,17,0,-1,1,1,-6,-4,10,23,0,2,4,8,12,-3,-6,-1,-2,2,2,-3,1,12,5,0,174.3669065,170.4748201,87.14388489,154.1342926,159.764988,159.9256595,159.9256595,149.3932854,-0.23501199,-0.074340528,-0.074340528,-0.606714628,131.8465228,130.8465228,130.8465228,129.263789,4.551558753,4.23501199,4,33,1374716464,1932878774,1972224353,1645527068,718903686,1364052101,1156331024,3517354553,1723519.854,3270540.796,2772603.324,8432902.707,50,50,50,62,-2.448441247,-2.76498801,-3,26,292,328,309.059952,11,1
31,292764.632,73.30508475,0,5,12,5,7,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,38,0,0,0,0,0,-8,-3,-5,0,0,0,0,0,-12,-26,-46,0,0,0,0,-15,16,20,27,0,0,0,0,166.0211864,154.9533898,39,145.7076271,159.1864407,159.1864407,159.1864407,149.1864407,-0.813559322,-0.813559322,-0.813559322,-0.813559322,132.0762712,131.0762712,131.0762712,129.3389831,5,5,4,33,416127822,428020342,321168814,363583191,411620461,777438541,657737192,2004060144,1743865.746,3293893.606,2786920,8491234.839,15,15,15,24,-2,-2,-3,26,292,317,306.2457627,11,0
32,310336.232,100,0,2,14,3,7,36,13,0,0,0,1,0,8,-17,0,-12,0,-2,-20,0,-38,-22,-70,32,0,-6,-25,-28,-5,-9,-55,-38,0,14,12,21,2,-14,-43,-16,0,23,42,64,20,21,-14,-51,0,-23,-24,-29,3,-6,-1,2,152,137,153,132.3333333,159,159,159,149,-1,-1,-1,-1,130,129,129,129,5,5,4,33,6972768,6972768,6972768,29294162,57644466,108766383,91971726,280399614,1746609,3295646,2786920,8496823,1,1,1,12,-2,-2,-3,26,281,317,304.0909091,11,1
33,335330.632,100,0,0,7,0,3,0,13,6,0,0,0,0,-22,0,0,-27,0,0,0,0,59,6,-1,27,0,-5,-10,-18,-27,-18,4,-13,0,1,5,0,3,20,24,-9,0,4,6,10,10,2,18,19,-10,-5,-5,-3,-2,12,6,-2,152,137,153,133,159,159,159,149,-1,-1,-1,-1,130,129,129,129,5,5,4,33,1479072,1479072,1479072,4890046,12227614,23071657,19509154,59478706,1746609,3295646,2786920,8496823,1,1,1,6,-2,-2,-3,26,283,283,283,36,1
34,348553.632,100,0,6,780,8,9,31,2,0,0,0,0,0,-6,0,0,12,0,0,0,0,35,-17,-3,6,0,-4,-9,-14,-11,-22,-7,5,0,0,-1,1,4,4,8,-3,0,-1,2,0,-4,3,7,7,-5,3,5,5,12,8,9,2,152.414803,162.5447284,160.9893504,154.299787,159.9446219,160.4121406,160.4616613,149.5734824,-0.055378062,0.412140575,0.461661342,-0.426517572,130,129,129.9930777,129,5.904685836,3.579339723,3.790202343,29.64909478,1007374246,1768342036,2042088717,1637755368,3338721343,6228867690,5292858013,16412009996,1777558.023,3316586.757,2818110.245,8738571.205,360,360,360,774,-1.095314164,-3.420660277,-3.209797657,22.64909478,262,293,279.9994675,31,0
35,350536.032,100,0,0,508,0,1,23,2,0,0,0,0,0,-9,0,0,9,0,0,0,0,-85,4,8,-51,0,8,13,18,37,28,3,-31,0,3,-5,1,6,-9,-25,-16,0,1,-8,-13,-9,-16,-19,-37,18,0,-9,-7,-16,-19,-17,1,160.6597938,170.8360825,161.4804124,155.5402062,159.8938144,159.9030928,159.9030928,149.9103093,-0.106185567,-0.096907216,-0.096907216,-0.089690722,130,129,130,129,6,4,4,30.84948454,370884294,472896554,434897446,588720882,1733301106,3230659634,2742981291,8721256871,1786762.537,3330356.257,2827604.557,8990466.709,307,307,307,508,-1,-3,-3,23.84948454,273,296,280.8082474,8,1
36,352108.832,100,0,0,381,0,3,24,2,0,0,1,0,0,-20,0,0,-24,0,0,0,0,-11,-33,-16,5,0,5,10,8,-6,5,6,27,0,0,7,-1,-15,-8,0,-6,0,0,5,8,3,-2,-7,1,-10,-15,-1,-3,-8,-3,-1,-3,158.1654501,162.4854015,160.5450122,155.6982968,159,159.1800487,159.0875912,149.5425791,-1,-0.819951338,-0.912408759,-0.457420925,130,129.9294404,130,129,6,4,4,32.69951338,142865792,197447596,182248620,783293966,1479686492,2751343547,2333292486,7553014307,1799913.28,3347022.724,2838386.011,9187885.798,174,174,174,376,-1,-3,-3,25.69951338,283,307,291.4659367,1,0
37,354132.602,100,0,0,450,0,2,22,2,0,0,0,0,0,2,0,0,-4,0,0,0,0,11,17,3,7,0,3,4,-2,8,-9,5,7,0,1,-2,-5,0,-9,-1,6,0,1,-3,-1,4,0,2,12,4,9,3,3,10,12,8,0,159.7103659,160.7804878,160.7362805,155.6341463,159,159,159,149.1646341,-1,-1,-1,-0.835365854,130,130,130,129,6,4.721036585,3.336890244,33.76829268,387268390,737774756,673707659,592931778,1185508532,2204709813,1867363184,6275387570,1806975.936,3360598.229,2846363.802,9565389.756,213,213,213,416,-1,-2.278963415,-3.663109756,26.76829268,290,312,301.9771341,2,0
38,357869.232,100,0,0,242,0,3,31,2,0,0,-1,0,0,18,0,0,10,0,0,0,0,5,11,25,-11,0,-6,-6,0,-7,10,1,14,0,-4,-5,-3,-8,4,4,23,0,-7,-6,-13,-11,-7,-6,18,4,10,9,11,5,-4,2,0,159.0376432,158.9427169,157.8330606,159.9296236,159,159.1653028,159.1653028,149.4042553,-1,-0.834697218,-0.834697218,-0.595744681,130,129.0278232,130,129,6,5,3.52700491,35,140021179,194428116,178852129,339422833,1111583497,2066067816,1747026312,5995941395,1819123.286,3381254.584,2859112.314,9812710.324,238,238,238,240,-1,-2,-3.47299509,28,283,314,293.5793781,9,0
